Barangay,City,Province,Postal Code,Barangay Code
Mansahaon,Matag-Ob,Leyte,6532,PH402606
Mansalanao,La Castellana,Negros Occidental,6131,PH331707
Mansalaya,Del Gallego,Camarines Sur,4411,PH24120B
Mansalip (Pob.),Matag-Ob,Leyte,6532,PH40260A
Mansanas,Josefina,Zamboanga del Sur,7027,PH452308
Mansangaban,Bais City,Negros Oriental,6206,PH36040M
Mansangat,Garchitorena,Camarines Sur,4428,PH24140C
Mansasa,Tagbilaran City,Bohol,6300,PH344208
Mansaya-Lapuz,Iloilo City,Iloilo,5000,PH32212T
Mansayao,Mainit,Surigao del Norte,8407,PH760908
Manseje,Bindoy,Negros Oriental,6209,PH36070C
Mansibang,Naguilian,Isabela,3302,PH072009
Mansilano,Amai Manabilang,Lanao del Sur,9320,PH693608
Mansilay,Tagkawayan,Quezon,4321,PH20380R
Mansilingan,Bacolod City,Negros Occidental,6100,PH33011H
Mansiwat,Boac (Capital),Marinduque,4900,PH780112
Manta,Siasi,Sulu,7412,PH71120L
Manta-angan,Enrique B. Magalona,Negros Occidental,6118,PH33080E
Mantabuan Tabunan,Sapa-Sapa,Tawi Tawi,7503,PH72100D
Mantacdang,San Quintin,Pangasinan,2444,PH04370F
Mantacdang,Umingan,Pangasinan,2443,PH044411
Mantahan (Pob.),Maasin City,Southern Leyte,6600,PH430716
Mantailoco,Marogong,Lanao del Sur,9303,PH69300B
Mantalisay,Libmanan,Camarines Sur,4407,PH24181A
Mantalongon,Sagbayan,Bohol,6331,PH34360C
Mantalongon,Barili,Cebu,6036,PH35100S
Mantalongon,Dalaguete,Cebu,6022,PH35220P
Mantan,Lugus,Sulu,7411,PH71170D
Mantanas,Santa Cruz,Ilocos Sur,1104,PH02240P
Mantang,Taft,Eastern Samar,6816,PH39230C
Mantangale,Balingoan,Misamis Oriental,9011,PH510307
Mantangon,Igbaras,Iloilo,5029,PH32200U
Mantaong,Calbayog City,Samar,6710,PH42032L
Mantapoli,Marantao,Lanao del Sur,9711,PH69150G
Mantasida,Catigbian,Bohol,6343,PH34130H
Mantatao,Calape,Bohol,6328,PH34100R
Mantayupan,Barili,Cebu,6036,PH35100T
Mantibugao,Manolo Fortich,Bukidnon,8703,PH47140G
Mantic,Tangub City,Misamis Occidental,7214,PH501504
Mantiguib,Makato,Aklan,5611,PH28110E
Mantija,Danao City,Cebu,6004,PH35230P
Mantila,Sipocot,Camarines Sur,4408,PH24340W
Mantile (Pob.),Bongabon,Nueva Ecija,3128,PH13020F
Mantiquil,Siaton,Negros Oriental,6219,PH36190E
Mantivo,Sibuco,Zamboanga del Norte,7122,PH44160E
Mantugawe,Basud,Camarines Norte,4608,PH23010E
Mantukoy,Concepcion,Misamis Occidental,7213,PH500608
Mantulang,Passi City,Iloilo,5037,PH323210
Mantuyong,Mandaue City,Cebu,6014,PH35300J
Mantuyop,Siaton,Negros Oriental,6219,PH36190F
Manual,Kiblawan,Davao del Sur,8008,PH53050F
Manuali,Porac,Pampanga,2008,PH14150E
Manubuan,Matalam,North Cotabato,9406,PH57080J
Manuel A. Roxas,Baguio City,Benguet,2600,PH64023F
"Manuel Barral, Sr.",Calbayog City,Samar,6710,PH42034M
"Manuel del Valle, Sr.",San Antonio,Quezon,4324,PH203409
Manuel Guianga,Davao City,Davao del Sur,8000,PH53021Y
Manuel M. Roxas,Trinidad,Bohol,6324,PH34440D
Manuel Peralta,Malita (Capital),Davao Occidental,8012,PH55030K
Manuel Roxas,Governor Generoso,Davao Oriental,8210,PH540602
Manuel Roxas,Santo Nino,South Cotabato,9509,PH591104
Manueva,Santa,Ilocos Sur,2703,PH02220E
Manuk Mangkaw,Simunul,Tawi Tawi,7505,PH720402
Manumbalay,Manito,Albay,4514,PH22110C
Manupal,Matalam,North Cotabato,9406,PH57080K
Manupeg,Camiling,Tarlac,2306,PH15030R
Manurabi,Matnog,Sorsogon,4708,PH27110R
Manurigao,New Bataan,Davao de Oro,8804,PH56100F
Manuto,Quezon,Bukidnon,8715,PH47170F
Manuyo Dos,Las Pinas City,Metro Manila,1744,PH61240C
Manuyo Uno,Las Pinas City,Metro Manila,1744,PH612405
Manuyog,Sagay,Camiguin,9103,PH480507
Manyagao,Surigao City,Surigao del Norte,8400,PH76190U
Manyayay,Lianga,Surigao del Sur,8307,PH771108
Manzana,San Jose,Camarines Sur,4423,PH24330E
Manzante,Magsingal,Ilocos Sur,2730,PH02120D
Manzon,San Carlos City,Pangasinan,2420,PH04321E
Mao,Datu Paglas,Maguindanao,9617,PH70040L
Mao,Datu Abdullah Sangki,Maguindanao,9621,PH702706
Maoasoas Norte,Pugo,La Union,2508,PH031206
Maoasoas Sur,Pugo,La Union,2508,PH031207
Maoay,Bangued (Capital),Abra,2800,PH62010F
Maogog,Jovellar,Albay,4515,PH22050F
Maolingon,Mandaon,Masbate,5411,PH26100F
Maomawan,Bien Unido,Bohol,6326,PH344808
Maon Pob.,Butuan City,Agusan del Norte,8600,PH73021H
Maonon,Ligao City,Albay,4504,PH22080X
Maopi,Daraga,Albay,4501,PH22030Z
Maot,Labo,Camarines Norte,4604,PH230615
Maoyon,Puerto Princesa City,Palawan,5300,PH81160U
Map,Gutalac,Zamboanga del Norte,7118,PH44230L
Map-an,Panaon,Misamis Occidental,7205,PH501107
Mapaang,Maco,Davao de Oro,8806,PH56040M
Mapaca,Compostela,Davao de Oro,8803,PH560105
Mapaco,Guinobatan,Albay,4503,PH22040R
Mapaco,Pinukpuk,Kalinga,3806,PH66040H
Mapaga,Prosperidad (Capital),Agusan del Sur,8500,PH74060E
Mapagmahal Pob.,Perez,Quezon,4334,PH202608
Mapagong,Calamba City,Laguna,4027,PH19050N
Mapagong,Pagbilao,Quezon,4302,PH20230G
Mapait,Palayan City,Nueva Ecija,3132,PH131906
Mapalacsiao,Tarlac City,Tarlac,2300,PH151613
Mapalad,San Agustin,Isabela,3314,PH072707
Mapalad,Dinalungan,Aurora,3206,PH100407
Mapalad,Santa Rosa,Nueva Ecija,3101,PH132806
Mapalad,Arayat,Pampanga,2012,PH14030C
Mapalad,Tarlac City,Tarlac,2300,PH151614
Mapalad Pob.,Paluan,Occidental Mindoro,5107,PH790706
Mapalasan,La Libertad,Negros Oriental,6213,PH36130F
Mapandan,Mayantoc,Tarlac,2304,PH15080E
Mapang,Bongabong,Oriental Mindoro,5211,PH80030J
Mapangpang,Lupao,Nueva Ecija,3122,PH13160A
Mapangpang,Science City of Munoz,Nueva Ecija,3119,PH13170J
Mapanique,San Pascual,Masbate,5420,PH26200C
Mapaniqui,Candaba,Pampanga,2013,PH14050G
Mapanit,Burgos,Ilocos Sur,2410,PH02040G
Mapantao,Magsaysay,Lanao del Norte,9221,PH49110B
Mapantao,Salvador,Lanao del Norte,9212,PH49180C
Mapantao,Bayang,Lanao del Sur,9309,PH69040L
Mapantao,Lumba-Bayabao,Lanao del Sur,9703,PH69100P
Mapantao,Pagayawan,Lanao del Sur,9312,PH691909
Mapantao,Saguiaran,Lanao del Sur,9701,PH69240F
Mapantao,Tugaya,Lanao del Sur,9317,PH69280D
Mapantao,Marogong,Lanao del Sur,9303,PH69300C
Mapantao,Picong,Lanao del Sur,9301,PH693409
Mapantao-Balangas,Lumbayanague,Lanao del Sur,9306,PH69350D
Mapantig,Isulan (Capital),Sultan Kudarat,9805,PH60040E
Mapapac,Barcelona,Sorsogon,4712,PH27010C
Maparat,Compostela,Davao de Oro,8803,PH560106
Mapaso,Irosin,Sorsogon,4707,PH27080H
Mapatag,Hamtic,Antique,5715,PH29080X
Mapawa,Maragusan,Davao de Oro,8808,PH560502
Mapawa,Surigao City,Surigao del Norte,8400,PH76190V
Mapawoy,Mayoyao,Ifugao,3602,PH65060H
Mapaya,San Jose,Occidental Mindoro,5100,PH79100W
Mapayag,Malaybalay City,Bukidnon,8700,PH47120Q
Mapayag,Datu Anggal Midtimbang,Maguindanao,9622,PH703003
Mapayao,Kayapa,Nueva Vizcaya,3708,PH08100E
Mapgap,Baybay City,Leyte,6521,PH400719
Mapgap,Tomas Oppus,Southern Leyte,6605,PH43180U
Mapid,Lagonoy,Camarines Sur,4425,PH24170L
Mapili,Balud,Masbate,5412,PH26030D
Mapili,San Enrique,Iloilo,5036,PH32360L
Mapili Grande,Badiangan,Iloilo,5033,PH32040K
Mapili Sanjo,Badiangan,Iloilo,5033,PH32040L
Mapisi,Nagbukel,Ilocos Sur,2725,PH021308
Mapisla,Licuan-Baay,Abra,2819,PH621306
Mapitac,Santo Nino,Cagayan,3525,PH06260G
Mapitogo,Balud,Masbate,5412,PH26030E
Mapina,Masbate City,Masbate,5400,PH26110N
Mapno,Palapag,Northern Samar,6421,PH41140E
Mapoling,Lumba-Bayabao,Lanao del Sur,9703,PH69100Q
Mapolopolo,Basista,Pangasinan,2422,PH040906
Maporong,Oas,Albay,4505,PH22120T
Mapua,Balingoan,Misamis Oriental,9011,PH510308
Mapula,Davao City,Davao del Sur,8000,PH53021Z
Mapula,Romblon (Capital),Romblon,5500,PH82100N
Mapulang Bato,Dao,Capiz,5810,PH30020D
Mapulang Daga,Bacacay,Albay,4509,PH22010L
Mapulang Lupa,Pandi,Bulacan,3014,PH12150C
Mapulang Lupa,Valenzuela City,Metro Manila,1448,PH61230J
Mapulo,Taysan,Batangas,4228,PH173209
Mapulo,Malaybalay City,Bukidnon,8700,PH47120R
Mapulog,Naawan,Misamis Oriental,9023,PH512004
Mapulot,Tagkawayan,Quezon,4321,PH20380S
Mapurao,Allacapan,Cagayan,3523,PH06030K
Mapuroc,San Mateo,Isabela,3318,PH073208
Mapurog,Sapad,Lanao del Norte,9213,PH49190D
Mapurog,Bonifacio,Misamis Occidental,7215,PH50030F
Mapurok,Alamada,North Cotabato,9413,PH570109
Maputat,Unisan,Quezon,4305,PH20410J
Maputi,Maslog,Eastern Samar,6820,PH391405
Maputi,Zumarraga,Samar,6725,PH42230D
Maputi,Naawan,Misamis Oriental,9023,PH512005
Maputi,Banaybanay,Davao Oriental,8208,PH540207
Maputi,San Isidro,Davao Oriental,8209,PH54100A
Mapuyo,Mobo,Masbate,5401,PH26130E
Mapuyo,Kawayan,Biliran,6545,PH380609
Maqueda,Caramoan,Camarines Sur,4429,PH24110U
Maquiapo,Guagua,Pampanga,2003,PH140705
Maquilao,Tangub City,Misamis Occidental,7214,PH50150U
Maquina,Dumangas,Iloilo,5006,PH32170S
Marabanan,Mahayag,Zamboanga del Sur,7026,PH451003
Maraboc,Laoac,Pangasinan,2437,PH04480F
Marabulig I,Cauayan City,Isabela,3305,PH070815
Marabulig II,Cauayan City,Isabela,3305,PH070816
Maraburab,Alcala,Cagayan,3507,PH06020G
Marabut,Tarangnan,Samar,6704,PH42200S
Marabutuan,Jose Abad Santos,Davao Occidental,8014,PH55020H
Maracabac,Castilla,Sorsogon,4713,PH27050H
Maracanao,Agutaya,Palawan,5320,PH810204
Maracta (Pob.),Lumban,Laguna,4014,PH191307
Maracuru,Enrile,Cagayan,3501,PH06120D
Marader,Talayan,Maguindanao,9612,PH701509
Maradiona,Belison,Antique,5701,PH290306
Maradodon,Cabugao,Ilocos Sur,2732,PH02050H
Marag,Luna,Apayao,2518,PH630505
Maraga-a,Kiblawan,Davao del Sur,8008,PH53050G
Maragang,Tigbao,Zamboanga del Sur,7043,PH45280B
Maragano,Palapag,Northern Samar,6421,PH41140F
Maragat,San Vicente,Northern Samar,6419,PH412101
Maragat,Kabugao (Capital),Apayao,3809,PH63040G
Maragatas,Lupon,Davao Oriental,8207,PH54070E
Maragayap,Bacnotan,La Union,2515,PH03030Q
Maragol,Science City of Munoz,Nueva Ecija,3119,PH13170K
Maragondon,Real,Quezon,4335,PH203108
Maragondong,La Libertad,Negros Oriental,6213,PH36130G
Maragondong,Dagami,Leyte,6515,PH40120Z
Maragooc,Gloria,Oriental Mindoro,5209,PH80060K
Maragubdub,San Remigio,Antique,5714,PH29140V
Maraguit,Cabatuan,Iloilo,5031,PH321113
Maragusan (Pob.),Maragusan,Davao de Oro,8808,PH560503
Maragni,San Fernando,Camarines Sur,4415,PH24320E
Marahan I,Alfonso,Cavite,4123,PH18010C
Marahan II,Alfonso,Cavite,4123,PH18010W
Maraiging,Jabonga,Agusan del Norte,8607,PH73050A
Maralag,Mambusao,Capiz,5807,PH30080H
Maralag,Dumingag,Zamboanga del Sur,7028,PH45060Q
Maralag,Lapuyan,Zamboanga del Sur,7037,PH45090B
Maramag,Balangkayan,Eastern Samar,6801,PH39030A
Maramara,Don Victoriano Chiongbian,Misamis Occidental,7216,PH501707
Maramara (Pob.),Sulat,Eastern Samar,6815,PH392208
Maramba,Oas,Albay,4505,PH22120U
Marambong,Pandan,Catanduanes,4809,PH25060C
Maramig,Libertad,Antique,5710,PH291008
Marana I,Ilagan City,Isabela,3300,PH07141D
Marana II,Ilagan City,Isabela,3300,PH07141E
Marana III,Ilagan City,Isabela,3300,PH07141F
Maranao Timber,Ditsaan-Ramain,Lanao del Sur,9713,PH69230M
Maranat Bontalis,Masiu,Lanao del Sur,9706,PH691708
Marandig,Calinog,Iloilo,5040,PH321216
Maranding,Kapatagan,Lanao del Norte,9214,PH49050L
Maranding,Lala,Lanao del Norte,9211,PH49090D
Maranding,Datu Abdullah Sangki,Maguindanao,9621,PH702707
Marang,Sumisip,Basilan,7305,PH68040Q
Marang,Barira,Maguindanao,9614,PH701707
Marang-marang,Isabela City,Basilan,7300,PH68130S
Marang-marang,Languyan,Tawi Tawi,7509,PH72090J
Marangan,Dumingag,Zamboanga del Sur,7028,PH45060R
Marangas (Pob.),Bataraza,Palawan,5306,PH81050A
Marangog,Bogo City,Cebu,6010,PH35110J
Marangog,Hilongos,Leyte,6524,PH40140N
Maraning,Languyan,Tawi Tawi,7509,PH720906
Maranlig,Torrijos,Marinduque,4903,PH78060E
Marannao,San Mariano,Isabela,3332,PH07310M
Marao,Padre Burgos,Quezon,4303,PH202209
Marao,Inopacan,Leyte,6522,PH40160G
Marapal,Lemery,Iloilo,5043,PH32250E
Marapangi,Kibawe,Bukidnon,8720,PH47080A
Marapangi,Davao City,Davao del Sur,8000,PH530220
Marapilit,Zumarraga,Samar,6725,PH42230Q
Marapong,Sergio Osmena Sr.,Zamboanga del Norte,7108,PH44140F
Marapong,Sibutad,Zamboanga del Norte,7103,PH441708
Mararag,Marihatag,Surigao del Sur,8306,PH771407
Mararangsi,Motiong,Samar,6702,PH42120N
Mararigue,San Manuel,Isabela,3317,PH073007
Maras,Sindangan,Zamboanga del Norte,7112,PH44180C
Marasat Grande,San Mateo,Isabela,3318,PH073209
Marasat Pequeno,San Mateo,Isabela,3318,PH07320A
Marasbaras,Almagro,Samar,6724,PH420109
Maraska,Roxas,Oriental Mindoro,5212,PH801208
Maratudo,Magsingal,Ilocos Sur,2730,PH02120E
Marauoy,Lipa City,Batangas,4217,PH17140T
Maravilla,Magdalena,Laguna,4007,PH19150J
Maravilla,Nagcarlan,Laguna,4002,PH19170X
Maravilla,Palanas,Masbate,5404,PH26150B
Maravilla,Tabuelan,Cebu,6044,PH354907
Maravilla,Lavezares,Northern Samar,6404,PH41110E
Maravilla (Pob.),Mangatarem,Pangasinan,2413,PH04271E
Maravilla-Arellano Ext. (Pob.),Mangatarem,Pangasinan,2413,PH04271F
Marawa,Jaen,Nueva Ecija,3109,PH13120A
Marawi,Camiling,Tarlac,2306,PH15030S
Marawi,Tagoloan Ii,Lanao del Sur,9321,PH69370G
Marawi Poblacion,Marawi City,Lanao del Sur,9700,PH69162S
Marawis,Valencia,Bohol,6306,PH34470P
Maray,Bugasong,Antique,5704,PH29040D
Maraya,Vincenzo A. Sagun,Zamboanga del Sur,7036,PH45260B
Marayag,Libon,Albay,4507,PH22070S
Marayag,San Francisco,Southern Leyte,6613,PH431306
Marayag,Lupon,Davao Oriental,8207,PH54070F
Marayag,Mainit,Surigao del Norte,8407,PH760909
Maraykit,San Juan,Batangas,4226,PH17230P
Maraymaray,Don Carlos,Bukidnon,8712,PH47040E
Marayos,Pinamalayan,Oriental Mindoro,5208,PH80090E
Marbel,Kidapawan City,North Cotabato,9400,PH57040M
Marbel,Matalam,North Cotabato,9406,PH57080L
Marber,Bansalan,Davao del Sur,8005,PH53010G
Marbon,Talacogon,Agusan del Sur,8510,PH74110F
Marcatubig,Calbayog City,Samar,6710,PH42032J
Marcela (Pob.),Santa Marcela,Apayao,3811,PH630705
Marcelina,Bayugan City,Agusan del Sur,8502,PH740107
Marcelino Memije,Gen. Mariano Alvarez,Cavite,4117,PH18230L
Marcella,Uson,Masbate,5402,PH26210K
Marcelo,Calatrava,Negros Occidental,6126,PH33050Q
Marcelo,Mabini,Bohol,6313,PH34310B
Marcelo,Bato,Leyte,6525,PH40060X
Marcelo,Kalawit,Zamboanga del Norte,7124,PH442708
Marcelo Alberto (Pob.),Virac (Capital),Catanduanes,4800,PH251110
Marcelo Green Village,Paranaque City,Metro Manila,1700,PH612709
Marcelo H. Del Pilar,Gumaca,Quezon,4307,PH20130V
Marcelo H. del Pilar,Iloilo City,Iloilo,5000,PH32212U
Marcial O. Ranola,Guinobatan,Albay,4503,PH220408
Marcilla,Coron,Palawan,5316,PH81090C
Marcos,Rosario,La Union,2506,PH03130T
Marcos,Roxas,Isabela,3320,PH072605
Marcos,Baybay City,Leyte,6521,PH40071A
Marcos,Gandara,Samar,6706,PH42071Q
Marcos,Magallanes,Agusan del Norte,8604,PH730806
Marcos (Pob.),Banna,Ilocos Norte,2908,PH01110E
Marcos (Pob.),Santa,Ilocos Sur,2703,PH02220F
Marcos Calo,Las Nieves,Agusan del Norte,8610,PH730708
Marcos District (Pob.),Talavera,Nueva Ecija,3114,PH133010
Marcos Village,Palayan City,Nueva Ecija,3132,PH131907
Marcos Village,Mabalacat City,Pampanga,2010,PH14090G
Marcos Village,San Pablo,Zamboanga del Sur,7031,PH45170B
Marede,Santa Ana,Cagayan,3514,PH062307
Marelo,Gapan City,Nueva Ecija,3105,PH130807
Marfil,Rosario,Agusan del Sur,8504,PH740704
Marfrancisco,Pinamalayan,Oriental Mindoro,5208,PH80090F
Marga,Tubod,Surigao del Norte,8406,PH762104
Margaay,Vintar,Ilocos Norte,2915,PH01230L
Margaay,Cabugao,Ilocos Sur,2732,PH02050J
Margaay,Narvacan,Ilocos Sur,2704,PH02140G
Margen,Ormoc City,Leyte,6541,PH40301X
Margos,Kapatagan,Lanao del Norte,9214,PH49050M
Margot,Angeles City,Pampanga,2009,PH14010D
Margues,Esperanza,Sultan Kudarat,9806,PH600307
Margues,Datu Odin Sinsuat,Maguindanao,9601,PH70060N
MARI Pob.,Maasin,Iloilo,5030,PH32270S
Maria,Laua-An,Antique,5705,PH29090R
Maria Caridad,Arakan,North Cotabato,9417,PH57180L
Maria Clara,Diffun,Quirino,3401,PH09030P
Maria Clara,Iloilo City,Iloilo,5000,PH32212V
Maria Clara,Maasin City,Southern Leyte,6600,PH430717
Maria Cristina,Madalag,Aklan,5603,PH28100D
Maria Cristina,Iloilo City,Iloilo,5000,PH32212W
Maria Cristina,Dapitan City,Zamboanga del Norte,7101,PH44010K
Maria Cristina,Iligan City,Lanao del Norte,9200,PH49040D
Maria Cristina East,Bangar,La Union,2519,PH03060E
Maria Cristina West,Bangar,La Union,2519,PH03060F
Maria Fe,Orani,Bataan,2112,PH11090T
Maria Paz,Tanauan City,Batangas,4232,PH17310Q
Maria Plana,Sogod,Southern Leyte,6606,PH43170P
Maria Rosario,Inabanga,Bohol,6332,PH342411
Maria Theresa,Cabanatuan City,Nueva Ecija,3100,PH13032K
Maria Uray,Dapitan City,Zamboanga del Norte,7101,PH44010L
Maria-Cristina,Baloi,Lanao del Norte,9217,PH49020C
Mariana,Quezon City,Metro Manila,1112,PH61181S
Mariano Espeleta I,Imus City,Cavite,4103,PH18091X
Mariano Espeleta II,Imus City,Cavite,4103,PH18091Y
Mariano Espeleta III,Imus City,Cavite,4103,PH18091Z
Marianos,Numancia,Aklan,5604,PH28160D
Mariatao Datu,Tamparan,Lanao del Sur,9704,PH692518
Maribago,Lapu-Lapu City,Cebu,6015,PH35260G
Maribi,Tanauan,Leyte,6502,PH404010
Mariblo,Quezon City,Metro Manila,1104,PH61181T
Maribo (Pob.),Lumba-Bayabao,Lanao del Sur,9703,PH69100S
Maribojoc,Tudela,Misamis Occidental,7202,PH50160M
Maribojoc,San Benito,Surigao del Norte,8423,PH761302
Maribong,Lambunao,Iloilo,5042,PH32231E
Maribucao,Gingoog City,Misamis Oriental,9014,PH51080P
Maribulan,Alabel (Capital),Sarangani,9501,PH580107
Maribuyong,Duenas,Iloilo,5038,PH32160U
Maricaban,Santa Fe,Cebu,6047,PH354405
Maricalum,Sipalay City,Negros Occidental,6113,PH33270E
Maricolcol,Miagao,Iloilo,5023,PH322825
Maricrum,Sorsogon City,Sorsogon,4700,PH27151E
Maricum,Dulag,Leyte,6505,PH40130L
Maricum,Pastrana,Leyte,6514,PH40330K
Maridagao,Pagagawan,Maguindanao,9631,PH702106
Marifosque (Pob.),Pilar,Sorsogon,4714,PH27120Y
Marigne,Barbaza,Antique,5706,PH29020T
Marigondon,Pio Duran,Albay,4516,PH22130H
Marigondon,Lapu-Lapu City,Cebu,6015,PH35260H
Marigondon,Cajidiocan,Romblon,5512,PH82030B
Marigondon Norte,San Andres,Romblon,5504,PH821206
Marigondon Sur,San Andres,Romblon,5504,PH821207
Marikaban,Tingloy,Batangas,4203,PH173304
Mariki,Zamboanga City,Zamboanga del Sur,7000,PH45211C
Marikina Heights,Marikina City,Metro Manila,1810,PH61160D
Marikit,Palanan,Isabela,3334,PH072109
Marikit,Casiguran,Aurora,3204,PH10020G
Marikit,Pantabangan,Nueva Ecija,3124,PH132007
Marikit,Paluan,Occidental Mindoro,5107,PH790705
Marilag,Rosario,Batangas,4225,PH17210L
Marilag,Calauag,Quezon,4318,PH20061D
Marilag,Quezon City,Metro Manila,1109,PH61181U
Marilima,Virac (Capital),Catanduanes,4800,PH251111
Marilog,Davao City,Davao del Sur,8000,PH530221
Marina (Pob.),Binalbagan,Negros Occidental,6107,PH330306
Marinab,Bulan,Sorsogon,4706,PH27020Z
Marinas,Sorsogon City,Sorsogon,4700,PH27150K
Marinaut East,Marawi City,Lanao del Sur,9700,PH69161G
Marinaut West,Marawi City,Lanao del Sur,9700,PH69161H
Marinawa,Bato,Catanduanes,4801,PH25030D
Maringian,Cuyo,Palawan,5318,PH81100B
Maringyan,Miagao,Iloilo,5023,PH322826
Marinig,Cabuyao City,Laguna,4025,PH190409
Marintoc,Mobo,Masbate,5401,PH26130F
Mariposa,Aroroy,Masbate,5414,PH26010P
Mariquet,Solsona,Ilocos Norte,2910,PH01220E
Mariroc,Tabaco City,Albay,4511,PH22170P
Marirong,Leon,Iloilo,5026,PH32261R
Marita,President Roxas,Capiz,5803,PH30130D
Mariveles,Dauis,Bohol,6339,PH34190C
Market Area (Pob.),Santa Rosa City,Laguna,4026,PH19280C
Market Area Pob.,Daraga,Albay,4501,PH220310
Market Site (Pob.),Dulag,Leyte,6505,PH40130U
Market Site (Pob.),Mogpog,Marinduque,4901,PH78040R
Market Site Barangay 3 (Pob.),Donsol,Sorsogon,4715,PH27060P
Market Site Pob.,Santo Domingo,Albay,4508,PH22160N
"Market Subdivision, Upper",Baguio City,Benguet,2600,PH64023S
Market View,Lucena City,Quezon,4301,PH20180Z
Marketsite (Pob.),Isabela City,Basilan,7300,PH68130T
Marlangga,Torrijos,Marinduque,4903,PH78060F
Marmol,Tuburan,Cebu,6043,PH355212
Marnay,Sinait,Ilocos Sur,2733,PH02300N
Marobbob,Amulung,Cagayan,3505,PH060411
Marogong East,Marogong,Lanao del Sur,9303,PH69300D
Marogong Proper (Pob.),Marogong,Lanao del Sur,9303,PH69300E
Marong,Lambunao,Iloilo,5042,PH32231F
Maronguillo,San Rafael,Bulacan,3008,PH12220F
Maronong,Santa Barbara,Pangasinan,2419,PH04380E
Maroroy,Daraga,Albay,4501,PH220311
Maroyogroyog,Linapacan,Palawan,5314,PH811305
Marozo,Narvacan,Ilocos Sur,2704,PH02140H
Marquez,Padre Burgos,Quezon,4303,PH20220A
Marsada,Talipao,Sulu,7403,PH711311
Marsada,Panglima Estino,Sulu,7415,PH71160B
Marsolo,Naga,Zamboanga Sibugay,7004,PH46090A
Martilo,La Libertad,Negros Oriental,6213,PH36130H
Martinez,Tibiao,Antique,5707,PH291709
Martires Del 96,Pateros,Metro Manila,1620,PH612903
Maruaya,Piddig,Ilocos Norte,2912,PH01180J
Marubay,Laoang,Northern Samar,6411,PH410810
Maruclap,Batangas City (Capital),Batangas,4200,PH170517
Marufinas,Puerto Princesa City,Palawan,5300,PH81160V
Marugang,Concepcion,Misamis Occidental,7213,PH500609
Maruglu,Capas,Tarlac,2315,PH15040J
Maruhom,Taraka,Lanao del Sur,9712,PH69260R
Maruing,Lapuyan,Zamboanga del Sur,7037,PH45090C
Marulas,Kawit,Cavite,4104,PH181104
Marulas,Valenzuela City,Metro Manila,1440,PH61230K
Marungko,Angat,Bulacan,3012,PH120107
Marupangdan,Daram,Samar,6722,PH42060Z
Marupay,Pres. Manuel A. Roxas,Zamboanga del Norte,7102,PH441108
Marupay,Jose Dalman,Zamboanga del Norte,7111,PH44220G
Marupit,Camaligan,Camarines Sur,4401,PH240902
Maruwa,Simunul,Tawi Tawi,7505,PH72040A
Maruyogon,Puerto Princesa City,Palawan,5300,PH81160W
Marvel (Pob.),Culaba,Biliran,6547,PH38050B
Marvel (Pob.),Isabel,Leyte,6539,PH40170D
Marzan,Sanchez-Mira,Cagayan,3518,PH06220B
Mas-in,Ormoc City,Leyte,6541,PH40301Y
Masa,Dumanjug,Cebu,6035,PH35240R
Masaba,Danao City,Cebu,6004,PH35230Q
Masaba,Matag-Ob,Leyte,6532,PH402607
Masaba,Palompon,Leyte,6538,PH40320R
Masablang,Tabuk City,Kalinga,3800,PH66060Q
Masabud,Clarin,Misamis Occidental,7201,PH50050J
Masadag,Sinait,Ilocos Sur,2733,PH02300P
Masadya,Concepcion,Romblon,5516,PH820509
Masaga,Rapu-Rapu,Albay,4517,PH22150P
Masagana,Pandi,Bulacan,3014,PH12150D
Masagana,Quezon City,Metro Manila,1109,PH61181V
Masagana,Naujan,Oriental Mindoro,5204,PH80080V
Masagana (Pob.),Dilasag,Aurora,3205,PH100309
Masagana Pob.,El Nido,Palawan,5313,PH811208
Masagaosao,Kawayan,Biliran,6545,PH38060A
Masagongsong,Kawayan,Biliran,6545,PH38060B
Masagud,San Joaquin,Iloilo,5024,PH32371H
Masaguing,Naujan,Oriental Mindoro,5204,PH80080W
Masaguisi,Santa Cruz,Marinduque,4902,PH780514
Masaguisi,Bongabong,Oriental Mindoro,5211,PH80030K
Masaguitsit,Lobo,Batangas,4229,PH17150G
Masalasa,Victoria,Tarlac,2313,PH15170F
Masaling,Cauayan,Negros Occidental,6112,PH33070H
Masalipit,San Miguel,Bulacan,3011,PH12210Q
Masalisi,Lemery,Batangas,4209,PH17120L
Masalong,Labo,Camarines Norte,4604,PH230616
Masalongsalong,Mercedes,Camarines Norte,4601,PH23070M
Masalukot,Santa Cruz,Marinduque,4902,PH780515
Masalukot I,Candelaria,Quezon,4323,PH20070C
Masalukot II,Candelaria,Quezon,4323,PH20070D
Masalukot III,Candelaria,Quezon,4323,PH20070E
Masalukot IV,Candelaria,Quezon,4323,PH20070F
Masalukot V,Candelaria,Quezon,4323,PH20070R
Masamat,Mexico,Pampanga,2021,PH14130G
Masambong,Quezon City,Metro Manila,1115,PH61181W
Masanag,Caluya,Antique,5711,PH29050A
Masanag,Hamtic,Antique,5715,PH29080Y
Masangsang,Mexico,Pampanga,2021,PH14130H
Masantol,Orani,Bataan,2112,PH110909
Masantong,Bongao (Capital),Tawi Tawi,7500,PH72020C
